economy,WorldRegion,q1_2026_ai_diffusion,adoption_category
"United Arab Emirates",Asia,70.10,"High Adoption"
Singapore,Asia,63.40,"High Adoption"
Norway,Europe,48.60,"Medium Adoption"
Ireland,Europe,48.40,"Medium Adoption"
France,Europe,47.80,"Medium Adoption"
Spain,Europe,44.20,"Medium Adoption"
"New Zealand",Oceania,43.00,"Medium Adoption"
"United Kingdom",Europe,42.20,"Medium Adoption"
Netherlands,Europe,42.10,"Medium Adoption"
Qatar,Asia,41.80,"Medium Adoption"
Australia,Oceania,39.50,"Medium Adoption"
Belgium,Europe,39.00,"Medium Adoption"
Israel,Asia,38.10,"Medium Adoption"
Switzerland,Europe,37.80,"Medium Adoption"
Canada,"North America",37.30,"Medium Adoption"
"South Korea",Asia,37.10,"Medium Adoption"
Sweden,Europe,36.10,"Medium Adoption"
Austria,Europe,34.10,"Medium Adoption"
Hungary,Europe,32.20,"Medium Adoption"
"United States","North America",31.30,"Medium Adoption"
Denmark,Europe,31.20,"Medium Adoption"
Germany,Europe,31.10,"Medium Adoption"
Poland,Europe,31.00,"Medium Adoption"
Italy,Europe,30.20,"Medium Adoption"
Czechia,Europe,30.10,"Medium Adoption"
Bulgaria,Europe,29.70,"Medium Adoption"
Jordan,Asia,29.70,"Medium Adoption"
Finland,Europe,29.50,"Medium Adoption"
"Saudi Arabia",Asia,29.40,"Medium Adoption"
Slovenia,Europe,29.00,"Medium Adoption"
"Costa Rica","North America",28.50,"Medium Adoption"
Lebanon,Asia,27.30,"Medium Adoption"
Oman,Asia,26.50,"Medium Adoption"
Vietnam,Asia,26.50,"Medium Adoption"
Portugal,Europe,26.40,"Medium Adoption"
Croatia,Europe,26.10,"Medium Adoption"
Slovakia,Europe,26.10,"Medium Adoption"
"Dominican Republic","North America",24.80,"Medium Adoption"
Uruguay,"South America",24.60,"Medium Adoption"
Colombia,"South America",24.50,"Medium Adoption"
Lithuania,Europe,24.30,"Medium Adoption"
Serbia,Europe,24.10,"Medium Adoption"
Jamaica,"North America",24.00,"Medium Adoption"
Panama,"North America",23.30,"Medium Adoption"
"South Africa",Africa,23.10,"Medium Adoption"
Chile,"South America",22.70,"Medium Adoption"
Japan,Asia,22.50,"Medium Adoption"
"Bosnia And Herzegovina",Europe,22.10,"Medium Adoption"
Argentina,"South America",21.90,"Medium Adoption"
Malaysia,Asia,21.80,"Medium Adoption"
Kuwait,Asia,21.10,"Medium Adoption"
Greece,Europe,20.80,"Medium Adoption"
Georgia,Asia,20.50,"Medium Adoption"
Mexico,"North America",20.10,"Medium Adoption"
Philippines,Asia,20.10,"Medium Adoption"
Ecuador,"South America",19.50,"Low Adoption"
Brazil,"South America",19.10,"Low Adoption"
Albania,Europe,18.50,"Low Adoption"
Moldova,Europe,18.50,"Low Adoption"
"El Salvador","North America",18.30,"Low Adoption"
Azerbaijan,Asia,17.70,"Low Adoption"
India,Asia,17.60,"Low Adoption"
Romania,Europe,17.50,"Low Adoption"
Turkey,Asia,17.40,"Low Adoption"
Mongolia,Asia,16.70,"Low Adoption"
China,Asia,16.40,"Low Adoption"
Guatemala,"North America",16.40,"Low Adoption"
Peru,"South America",16.40,"Low Adoption"
Kazakhstan,Asia,15.90,"Low Adoption"
Namibia,Africa,15.10,"Low Adoption"
Gabon,Africa,15.00,"Low Adoption"
Libya,Africa,15.00,"Low Adoption"
Botswana,Africa,14.80,"Low Adoption"
Egypt,Africa,14.80,"Low Adoption"
Nepal,Asia,14.20,"Low Adoption"
Indonesia,Asia,14.10,"Low Adoption"
Honduras,"North America",14.00,"Low Adoption"
Senegal,Africa,13.90,"Low Adoption"
Tunisia,Africa,13.50,"Low Adoption"
Algeria,Africa,13.20,"Low Adoption"
"Cote D'Ivoire",Africa,13.10,"Low Adoption"
Zambia,Africa,13.10,"Low Adoption"
Bolivia,"South America",12.70,"Low Adoption"
Iran,Asia,12.60,"Low Adoption"
Iraq,Asia,12.50,"Low Adoption"
Thailand,Asia,12.40,"Low Adoption"
Paraguay,"South America",12.20,"Low Adoption"
Nicaragua,"North America",11.80,"Low Adoption"
Morocco,Africa,11.70,"Low Adoption"
Gambia,Africa,11.40,"Low Adoption"
Pakistan,Asia,11.40,"Low Adoption"
Angola,Africa,10.90,"Low Adoption"
Madagascar,Africa,10.90,"Low Adoption"
Malawi,Africa,10.90,"Low Adoption"
Mozambique,Africa,10.90,"Low Adoption"
Guyana,"South America",10.30,"Low Adoption"
Suriname,"South America",10.30,"Low Adoption"
Benin,Africa,10.10,"Low Adoption"
"Burkina Faso",Africa,10.10,"Low Adoption"
Ghana,Africa,10.10,"Low Adoption"
Guinea,Africa,10.10,"Low Adoption"
Guinea-Bissau,Africa,10.10,"Low Adoption"
Liberia,Africa,10.10,"Low Adoption"
Mali,Africa,10.10,"Low Adoption"
Mauritania,Africa,10.10,"Low Adoption"
Niger,Africa,10.10,"Low Adoption"
Nigeria,Africa,10.10,"Low Adoption"
"Sierra Leone",Africa,10.10,"Low Adoption"
Togo,Africa,10.10,"Low Adoption"
Myanmar,Asia,10.00,"Low Adoption"
Lesotho,Africa,9.80,"Low Adoption"
Belarus,Europe,9.60,"Low Adoption"
Kyrgyzstan,Asia,9.50,"Low Adoption"
Russia,Europe,9.50,"Low Adoption"
Ukraine,Europe,9.40,"Low Adoption"
Cameroon,Africa,8.70,"Low Adoption"
"Central African Republic",Africa,8.70,"Low Adoption"
Chad,Africa,8.70,"Low Adoption"
Congo,Africa,8.70,"Low Adoption"
"Congo (DRC)",Africa,8.70,"Low Adoption"
Kenya,Africa,8.70,"Low Adoption"
Haiti,"North America",8.50,"Low Adoption"
Zimbabwe,Africa,8.50,"Low Adoption"
Bangladesh,Asia,7.80,"Low Adoption"
Laos,Asia,7.80,"Low Adoption"
"Papua New Guinea",Oceania,7.70,"Low Adoption"
Burundi,Africa,7.60,"Low Adoption"
Ethiopia,Africa,7.60,"Low Adoption"
Somalia,Africa,7.60,"Low Adoption"
Sudan,Africa,7.60,"Low Adoption"
Tanzania,Africa,7.60,"Low Adoption"
Uganda,Africa,7.60,"Low Adoption"
Armenia,Asia,7.40,"Low Adoption"
"Sri Lanka",Asia,7.30,"Low Adoption"
Rwanda,Africa,7.20,"Low Adoption"
Uzbekistan,Asia,7.20,"Low Adoption"
Afghanistan,Asia,6.10,"Low Adoption"
Tajikistan,Asia,6.10,"Low Adoption"
Turkmenistan,Asia,6.10,"Low Adoption"
Cambodia,Asia,5.70,"Low Adoption"
