economy,h1_2025_ai_diffusion,h2_2025_ai_diffusion,q1_2026_ai_diffusion,GdpPerCapita,WorldRegion
"United Arab Emirates",59.40,64.00,70.10,69701.79,Asia
Singapore,58.60,60.90,63.40,134548.77,Asia
Norway,45.30,46.40,48.60,94803.67,Europe
Ireland,41.70,44.60,48.40,118833.31,Europe
France,40.90,44.00,47.80,54799.35,Europe
Spain,39.70,41.80,44.20,48460.29,Europe
"New Zealand",37.60,40.50,43.00,48325.36,Oceania
"United Kingdom",36.40,38.90,42.20,53412.07,Europe
Netherlands,36.30,38.90,42.10,70493.91,Europe
Qatar,35.70,38.30,41.80,111314.25,Asia
Australia,34.50,36.90,39.50,60309.58,Oceania
Belgium,33.50,36.00,39.00,63311.28,Europe
Israel,33.90,36.10,38.10,47388.72,Asia
Switzerland,32.40,34.80,37.80,85448.06,Europe
Canada,33.50,35.00,37.30,57534.09,"North America"
"South Korea",25.90,30.70,37.10,55070.94,Asia
Sweden,31.20,33.30,36.10,62558.41,Europe
Austria,29.10,31.40,34.10,63787.99,Europe
Hungary,27.90,29.80,32.20,40747.20,Europe
Taiwan,26.40,28.40,31.80,NULL,NULL
"United States",26.30,28.30,31.30,75698.18,"North America"
Denmark,26.60,28.70,31.20,71034.58,Europe
Germany,26.50,28.60,31.10,62654.60,Europe
Poland,26.40,28.50,31.00,45153.04,Europe
Italy,25.80,27.80,30.20,53284.88,Europe
Czechia,26.00,27.80,30.10,47972.53,Europe
Bulgaria,25.40,27.30,29.70,34221.39,Europe
Jordan,25.40,27.00,29.70,10468.27,Asia
Finland,25.60,27.30,29.50,55901.32,Europe
"Saudi Arabia",23.70,26.20,29.40,63194.43,Asia
Slovenia,24.60,26.50,29.00,48658.03,Europe
"Costa Rica",25.10,26.50,28.50,27325.05,"North America"
Lebanon,24.80,25.70,27.30,10469.22,Asia
Oman,22.60,24.20,26.50,36721.08,Asia
Vietnam,21.20,23.50,26.50,14396.42,Asia
Portugal,22.40,24.20,26.40,42228.16,Europe
Slovakia,22.10,23.80,26.10,40302.45,Europe
Croatia,21.80,23.70,26.10,42828.80,Europe
"Dominican Republic",22.00,22.70,24.80,24229.89,"North America"
Uruguay,20.90,22.50,24.60,32149.48,"South America"
Colombia,20.40,22.00,24.50,18481.84,"South America"
Lithuania,21.00,22.40,24.30,47462.00,Europe
Serbia,19.70,21.50,24.10,26900.74,Europe
Jamaica,22.20,22.10,24.00,11340.26,"North America"
Panama,20.30,21.50,23.30,36394.92,"North America"
"South Africa",19.30,21.10,23.10,13597.65,Africa
Chile,19.60,20.80,22.70,30267.65,"South America"
Japan,16.70,19.10,22.50,47479.84,Asia
"Bosnia And Herzegovina",18.20,19.50,22.10,20578.50,Europe
Argentina,17.80,19.60,21.90,26771.97,"South America"
Malaysia,18.30,19.70,21.80,34116.23,Asia
Kuwait,17.70,19.10,21.10,46664.22,Asia
Greece,17.70,19.10,20.80,37474.28,Europe
Georgia,17.30,18.20,20.50,24146.62,Asia
Philippines,17.10,18.30,20.10,10378.17,Asia
Mexico,16.70,17.80,20.10,21970.35,"North America"
Ecuador,17.00,17.70,19.50,13922.42,"South America"
Brazil,15.60,17.10,19.10,19652.37,"South America"
Moldova,16.60,17.00,18.50,16393.86,Europe
Albania,15.80,16.50,18.50,21640.98,Europe
"El Salvador",14.60,16.20,18.30,11647.02,"North America"
Azerbaijan,14.20,15.50,17.70,22090.53,Asia
India,14.20,15.70,17.60,9416.05,Asia
Romania,15.30,16.20,17.50,40503.83,Europe
Turkey,13.40,14.60,17.40,36154.49,Asia
Mongolia,12.60,14.30,16.70,16842.65,Asia
China,15.40,16.30,16.40,23841.48,Asia
Guatemala,13.70,14.80,16.40,12643.98,"North America"
Peru,13.40,14.70,16.40,15708.83,"South America"
Kazakhstan,12.70,13.70,15.90,35973.97,Asia
Namibia,13.00,13.80,15.10,10276.37,Africa
Libya,12.70,13.70,15.00,12583.83,Africa
Gabon,12.30,13.40,15.00,18923.66,Africa
Botswana,12.80,13.70,14.80,18107.62,Africa
Egypt,12.50,13.40,14.80,16798.15,Africa
Nepal,12.30,13.00,14.20,5047.42,Asia
Indonesia,11.70,12.70,14.10,14470.72,Asia
Honduras,12.40,13.10,14.00,6590.84,"North America"
Senegal,12.40,12.90,13.90,4477.82,Africa
Tunisia,12.30,12.70,13.50,12774.92,Africa
Algeria,11.30,12.00,13.20,15501.92,Africa
Zambia,11.70,12.30,13.10,3708.07,Africa
"Cote D'Ivoire",10.80,11.70,13.10,6747.04,Africa
Bolivia,10.90,11.60,12.70,11329.15,"South America"
Iran,9.60,10.70,12.60,17484.13,Asia
Iraq,10.30,11.20,12.50,12725.04,Asia
Thailand,9.10,10.70,12.40,21882.22,Asia
Paraguay,10.10,11.00,12.20,16367.49,"South America"
Nicaragua,10.00,10.70,11.80,7661.09,"North America"
Morocco,10.50,10.90,11.70,9162.75,Africa
Gambia,10.60,10.90,11.40,3057.68,Africa
Pakistan,9.70,10.30,11.40,5502.07,Asia
Angola,8.90,9.70,10.90,8752.80,Africa
Madagascar,8.90,9.70,10.90,1659.15,Africa
Malawi,8.90,9.70,10.90,1634.25,Africa
Mozambique,8.90,9.70,10.90,1500.71,Africa
"French Guiana",8.30,9.00,10.30,NULL,NULL
Guyana,8.30,9.00,10.30,70516.70,"South America"
Suriname,8.30,9.00,10.30,19179.10,"South America"
Venezuela,8.30,9.00,10.30,NULL,NULL
Benin,8.70,9.30,10.10,3901.33,Africa
"Burkina Faso",8.70,9.30,10.10,2548.50,Africa
Ghana,8.70,9.30,10.10,7072.80,Africa
Guinea,8.70,9.30,10.10,4016.34,Africa
Guinea-Bissau,8.70,9.30,10.10,2717.54,Africa
Liberia,8.70,9.30,10.10,1646.06,Africa
Mali,8.70,9.30,10.10,2917.93,Africa
Mauritania,8.70,9.30,10.10,6482.69,Africa
Niger,8.70,9.30,10.10,1795.65,Africa
Nigeria,8.70,9.30,10.10,7994.04,Africa
"Sierra Leone",8.70,9.30,10.10,3098.76,Africa
Togo,8.70,9.30,10.10,3351.25,Africa
Myanmar,8.40,9.10,10.00,5276.29,Asia
Lesotho,8.80,9.10,9.80,2697.63,Africa
Belarus,7.60,8.40,9.60,29135.95,Europe
Kyrgyzstan,7.60,8.20,9.50,7210.58,Asia
Russia,7.60,8.00,9.50,41891.17,Europe
Ukraine,9.10,9.00,9.40,16371.44,Europe
Kenya,7.80,8.10,8.70,5841.60,Africa
Cameroon,7.00,7.80,8.70,4916.93,Africa
"Central African Republic",7.00,7.80,8.70,1111.22,Africa
Chad,7.00,7.80,8.70,2430.73,Africa
Congo,7.00,7.80,8.70,6152.57,Africa
"Congo (DRC)",7.00,7.80,8.70,1601.71,Africa
Haiti,7.10,7.60,8.50,2783.79,"North America"
Zimbabwe,6.90,7.60,8.50,5211.90,Africa
Bangladesh,6.50,7.10,7.80,8486.79,Asia
Laos,6.00,6.70,7.80,8600.32,Asia
"Papua New Guinea",7.20,7.30,7.70,4292.71,Oceania
Burundi,6.40,6.80,7.60,1048.06,Africa
Eritrea,6.40,6.80,7.60,NULL,NULL
Ethiopia,6.40,6.80,7.60,2892.22,Africa
Somalia,6.40,6.80,7.60,1409.34,Africa
"South Sudan",6.40,6.80,7.60,NULL,NULL
Sudan,6.40,6.80,7.60,1861.40,Africa
Tanzania,6.40,6.80,7.60,3713.26,Africa
Uganda,6.40,6.80,7.60,2879.67,Africa
Syria,6.70,7.10,7.50,NULL,NULL
Armenia,6.20,6.60,7.40,20078.79,Asia
"Sri Lanka",6.20,6.60,7.30,13793.07,Asia
Uzbekistan,5.70,6.30,7.20,10997.17,Asia
Rwanda,6.00,6.30,7.20,3325.01,Africa
Cuba,5.70,6.10,6.70,NULL,NULL
Afghanistan,5.10,5.60,6.10,1964.45,Asia
Tajikistan,5.10,5.60,6.10,4755.93,Asia
Turkmenistan,5.10,5.60,6.10,18470.74,Asia
Cambodia,4.60,5.10,5.70,7011.58,Asia
