economy,CountryCode,GdpPerCapita,WorldRegion
Afghanistan,AFG,1964.45,Asia
Albania,ALB,21640.98,Europe
Algeria,DZA,15501.92,Africa
Andorra,AND,66232.74,Europe
Angola,AGO,8752.80,Africa
"Antigua and Barbuda",ATG,29298.65,"North America"
Argentina,ARG,26771.97,"South America"
Armenia,ARM,20078.79,Asia
Aruba,ABW,45428.00,"North America"
Australia,AUS,60309.58,Oceania
Austria,AUT,63787.99,Europe
Azerbaijan,AZE,22090.53,Asia
Bahamas,BHS,36244.05,"North America"
Bahrain,BHR,59060.18,Asia
Bangladesh,BGD,8486.79,Asia
Barbados,BRB,21557.53,"North America"
Belarus,BLR,29135.95,Europe
Belgium,BEL,63311.28,Europe
Belize,BLZ,12621.41,"North America"
Benin,BEN,3901.33,Africa
Bermuda,BMU,104299.95,"North America"
Bhutan,BTN,15603.89,Asia
Bolivia,BOL,11329.15,"South America"
"Bosnia and Herzegovina",BIH,20578.50,Europe
Botswana,BWA,18107.62,Africa
Brazil,BRA,19652.37,"South America"
Brunei,BRN,79071.73,Asia
Bulgaria,BGR,34221.39,Europe
"Burkina Faso",BFA,2548.50,Africa
Burundi,BDI,1048.06,Africa
Cambodia,KHM,7011.58,Asia
Cameroon,CMR,4916.93,Africa
Canada,CAN,57534.09,"North America"
"Cape Verde",CPV,9825.53,Africa
"Cayman Islands",CYM,80996.65,"North America"
"Central African Republic",CAF,1111.22,Africa
Chad,TCD,2430.73,Africa
Chile,CHL,30267.65,"South America"
China,CHN,23841.48,Asia
Colombia,COL,18481.84,"South America"
Comoros,COM,3556.04,Africa
Congo,COG,6152.57,Africa
"Costa Rica",CRI,27325.05,"North America"
"Cote d'Ivoire",CIV,6747.04,Africa
Croatia,HRV,42828.80,Europe
Curacao,CUW,28762.06,"North America"
Cyprus,CYP,52861.84,Europe
Czechia,CZE,47972.53,Europe
"Congo (DRC)",COD,1601.71,Africa
Denmark,DNK,71034.58,Europe
Djibouti,DJI,6871.12,Africa
Dominica,DMA,18739.36,"North America"
"Dominican Republic",DOM,24229.89,"North America"
"East Asia and Pacific (WB)",WB_EAP,24094.16,
"East Timor",TLS,3890.96,Asia
Ecuador,ECU,13922.42,"South America"
Egypt,EGY,16798.15,Africa
"El Salvador",SLV,11647.02,"North America"
